"Stress ratio, R ",Crack length (mm), ?K,actaual fatigue crack
0,0.0671,3.866827,4.79E-09
0,0.073,4.033085,4.87E-09
0,0.0854,4.361933,5.34E-09
0,0.091,4.502605,5.35E-09
0,0.1023,4.773932,5.68E-09
0,0.1082,4.909694,5.69E-09
0,0.1176,5.118644,5.88E-09
0,0.1678,6.117054,7.99E-09
0,0.2113,6.869889,9.60E-09
0,0.2437,7.384126,1.06E-08
0,0.2629,7.674131,1.10E-08
0,0.2913,8.086288,1.17E-08
0,0.3447,8.816881,1.33E-08
0,0.3897,9.397015,1.44E-08
0,0.4216,9.792618,1.51E-08
0,0.4982,10.70116,1.72E-08
0,0.5382,11.15718,1.79E-08
0,0.5846,11.67386,1.89E-08
0,0.6567,12.45614,2.05E-08
0,0.7172,13.098,2.17E-08
0,0.7981,13.94188,2.35E-08
0,0.8309,14.28069,2.37E-08
0,0.8926,14.91459,2.48E-08
0,0.965,15.65507,2.61E-08
0,1.0768,16.79752,2.83E-08
0,1.27047,18.79467,3.26E-08
0,1.4524,20.71545,3.63E-08
0,1.8017,24.597,4.39E-08
0,2.1435,28.7364,5.10E-08
0,2.379,31.84465,5.53E-08
0,2.9785,41.05397,6.77E-08
0.3,0.0481,3.274503,6.01E-09
0.3,0.0532,3.44353,5.91E-09
0.3,0.0611,3.690076,6.11E-09
0.3,0.0725,4.019261,6.59E-09
0.3,0.0915,4.514953,7.63E-09
0.3,0.1173,5.112106,9.02E-09
0.3,0.1416,5.617553,1.01E-08
0.3,0.1631,6.030388,1.09E-08
0.3,0.1993,6.670207,1.25E-08
0.3,0.2477,7.445373,1.46E-08
0.3,0.3316,8.64234,1.84E-08
0.3,0.4368,9.977205,2.30E-08
0.3,0.5582,11.38136,2.79E-08
0.3,0.6838,12.74504,3.26E-08
0.3,0.79017,13.85973,3.59E-08
0.3,0.90273,15.01836,3.92E-08
0.3,1.061,16.63587,4.42E-08
0.3,1.224,18.31198,4.90E-08
0.3,1.337,19.49084,5.14E-08
0.3,1.453,20.72188,5.38E-08
0.3,1.692,23.34534,6.04E-08
0.3,1.944,26.273,6.70E-08
0.3,2.2171,29.68279,7.39E-08
0.3,2.529,33.95648,8.16E-08
0.3,3.248,46.0042,1.02E-07
