Temperature,Sigma_max,Yield_Strength,Hardness_HV,Ultimate_Tensile_Strength,Elongation,FN
25,605.45,749,377,952,29,24900000
25,573,749,377,952,29,14300000
25,590.9,749,377,952,29,450000
25,536.6,749,377,952,29,685000
25,490.9,749,377,952,29,19800000
25,436.36,749,377,952,29,112000000
25,418.18,749,377,952,29,12300000
25,345.45,749,377,952,29,272000000
650,740,502,319,726,38,128000
650,720,502,319,726,38,48100
650,700,502,319,726,38,241000
650,650,502,319,726,38,736000
650,600,502,319,726,38,2930000
650,550,502,319,726,38,4470000
650,500,502,319,726,38,21700000
650,450,502,319,726,38,34800000
25,414.545511,754,375,954,26,12296126
24,535.5339424,741,377,949,28,702127
650,594.8361364,493,319,722,38,2933423
650,497.6901175,499,318,725,39,21693646
649,700.7284978,505,319,724,39,244428
23,336.8871712,743,379,949,28,271997523
649,605.5910705,500,320,727,38,2932942
26,494.8348324,742,378,955,30,19810197
27,413.4373591,746,377,955,27,12275190
652,729.6679606,501,321,726,38,52458
24,585.8565749,748,377,949,27,454178
26,415.8572707,745,378,960,28,12289717
650,699.7395378,502,320,718,37,254396
651,699.3785333,495,313,732,40,261395
24,350.2165128,748,375,954,29,271995725
25,479.408215,749,377,951,29,19800498
25,418.5938894,749,380,950,28,12300617
28,539.4746142,741,371,959,27,678075
650,601.8272302,504,319,726,37,2924910
650,490.6441327,497,322,730,38,21695434
649,700.4264881,510,320,725,35,229051
24,338.1120258,751,377,954,31,272005912
650,604.4402558,506,308,733,37,2943629
28,495.3503323,743,377,943,29,19801765
26,416.767435,758,375,962,28,12303114
652,718.1554214,501,320,725,38,50899
25,593.4003591,743,376,952,29,452413
25,419.5950888,749,373,957,28,12301629
651,703.8511603,504,317,732,37,236590
647,706.9289567,502,324,723,38,230855
27,350.3214654,748,376,953,26,272012046
26,485.3230518,749,377,953,29,19799481
23,423.4226103,752,376,954,30,12296519
25,539.3511541,749,381,952,27,695799
