Porosity,YM,UTS,FS,fstrain
50.3552,2600,61,13,10.8999
54.7512,2600,61,13,11.9131
60.5054,2600,61,13,4.2524
65.9692,2600,61,13,9.7422
75.5119,2600,61,13,9.9137
80.7881,2600,61,13,8.8202
45.0701,2600,61,13,7.0135
44.8914,2600,61,13,5.3996
50.5651,2600,61,13,7.0387
53.5807,2600,61,13,9.7394
58.218,2600,61,13,10.0441
57.8562,2600,61,13,9.4341
59.5449,2600,61,13,13.039
59.8576,2600,61,13,12.0528
66.693,2600,61,13,9.8775
65.0623,2600,61,13,8.1478
71.3884,2600,61,13,9.3887
71.9781,2600,61,13,8.8113
77.491,2600,61,13,14.5104
23.1404,1378,52,127,13.8711
28.8891,1378,52,127,14.4725
32.5979,1378,52,127,17.2574
33.3825,1378,52,127,19.4159
34.8898,1378,52,127,19.5062
37.2434,1378,52,127,21.9511
40.5956,1378,52,127,24.2424
52.2356,1378,52,127,30.2648
54.1043,1378,52,127,31.21
55.6924,1378,52,127,24.8564
60.1287,1378,52,127,33.5678
62.2732,1378,52,127,36.5555
65.8821,1378,52,127,29.5305
70.6655,1378,52,127,40.0232
78.3922,1378,52,127,24.7832
82.5622,1378,52,127,42.3652
82.5765,1378,52,127,43.4111
88.5344,1378,52,127,15.5894
27.9213,1245,38,141,22.7458
30.0926,1245,38,141,20.2478
30.9167,1245,38,141,20.4182
31.4352,1245,38,141,22.6555
32.3287,1245,38,141,21.6754
33.7593,1245,38,141,23.2053
35.7731,1245,38,141,21.1768
39.5509,1245,38,141,19.9996
41.2454,1245,38,141,21.3778
50.7546,1245,38,141,29.503
51.5741,1245,38,141,24.4976
51.7685,1245,38,141,28.2918
59.2963,1245,38,141,34.4095
60.3241,1245,38,141,40.5636
60.5417,1245,38,141,33.307
71.2037,1245,38,141,42.6635
73.9907,1245,38,141,43.9339
81.6667,1245,38,141,23.3102
84.7407,1245,38,141,46.0446
86.7963,1245,38,141,60.4711
88.6065,1245,38,141,16.282
60.4928,1806,53,43,20.6303
62.0953,1806,53,43,22.255
62.2148,1806,53,43,20.5521
62.9408,1806,53,43,20.945
63.3437,1806,53,43,21.7076
64.7071,1806,53,43,22.7224
67.9298,1806,53,43,23.899
69.063,1806,53,43,25.3786
69.1914,1806,53,43,23.8552
76.7301,1806,53,43,27.732
77.2082,1806,53,43,23.9771
79.3286,1806,53,43,19.9793
86.8319,1806,53,43,17.2059
87.1329,1806,53,43,11.4223
87.4782,1806,53,43,11.3809
87.4915,1806,53,43,11.9401
88.2352,1806,53,43,19.2002
