Porosity,YM,UTS,FS,fstrength
50.3552,2600,61,13,10.4526
54.7512,2600,61,13,9.1256
60.5054,2600,61,13,6.0611
65.9692,2600,61,13,5.8347
75.5119,2600,61,13,3.1893
80.7881,2600,61,13,2.3356
45.0701,2600,61,13,10.8971
44.8914,2600,61,13,10.4818
50.5651,2600,61,13,9.8794
53.5807,2600,61,13,9.8687
58.218,2600,61,13,8.4677
57.8562,2600,61,13,8.4171
59.5449,2600,61,13,7.4087
59.8576,2600,61,13,7.3752
66.693,2600,61,13,5.4895
65.0623,2600,61,13,5.762
71.3884,2600,61,13,4.3357
71.9781,2600,61,13,4.3945
77.491,2600,61,13,3.6101
23.1404,1378,52,127,9.9958
28.8891,1378,52,127,7.3998
32.5979,1378,52,127,7.0989
33.3825,1378,52,127,6.935
34.8898,1378,52,127,7.2562
37.2434,1378,52,127,6.2063
40.5956,1378,52,127,5.0698
52.2356,1378,52,127,3.6257
54.1043,1378,52,127,3.5676
55.6924,1378,52,127,2.6665
60.1287,1378,52,127,2.8355
62.2732,1378,52,127,2.8274
65.8821,1378,52,127,1.8834
70.6655,1378,52,127,2.066
78.3922,1378,52,127,1.3149
82.5622,1378,52,127,0.9615
82.5765,1378,52,127,1.336
88.5344,1378,52,127,0.4461
27.9213,1245,38,141,8.6579
30.0926,1245,38,141,7.4695
30.9167,1245,38,141,6.5607
31.4352,1245,38,141,7.9588
32.3287,1245,38,141,7.8945
33.7593,1245,38,141,7.0979
35.7731,1245,38,141,6.2392
39.5509,1245,38,141,5.1569
41.2454,1245,38,141,5.293
50.7546,1245,38,141,3.937
51.5741,1245,38,141,4.3214
51.7685,1245,38,141,3.9747
59.2963,1245,38,141,3.2587
60.3241,1245,38,141,3.0404
60.5417,1245,38,141,3.2265
71.2037,1245,38,141,2.2764
73.9907,1245,38,141,2.0096
81.6667,1245,38,141,1.3631
84.7407,1245,38,141,1.351
86.7963,1245,38,141,1.0118
88.6065,1245,38,141,0.7789
60.4928,1806,53,43,6.1712
62.0953,1806,53,43,6.1179
62.2148,1806,53,43,5.9251
62.9408,1806,53,43,5.3451
63.3437,1806,53,43,5.1242
64.7071,1806,53,43,5.1335
67.9298,1806,53,43,3.9954
69.063,1806,53,43,3.7845
69.1914,1806,53,43,3.9783
76.7301,1806,53,43,2.2383
77.2082,1806,53,43,2.5226
79.3286,1806,53,43,1.9654
86.8319,1806,53,43,1.4946
87.1329,1806,53,43,1.0814
87.4782,1806,53,43,0.8493
87.4915,1806,53,43,1.078
88.2352,1806,53,43,1.2299
