Porosity,Young Modulus,Ultimate Strength,Fracture Strain,FStrain
47.9495,2900,73,12.3,8.3092
50.1729,2900,73,12.3,7.4606
69.5209,2900,73,12.3,4.859
76.5149,2900,73,12.3,6.3805
52.176,2080,52,12,6.5749
45.3978,2080,52,12,6.1209
63.6274,2080,52,12,5.9056
74.4507,2080,52,12,7.1066
48.0919,2300,52,4,7.4775
62.5138,2300,52,4,8.4425
70.8943,2300,52,4,8.2221
75.516,2300,52,4,5.8153
55.1397,1000,28,55,35.7374
79.6729,1000,28,55,25.6713
70.8888,1000,28,55,29.4329
51.7524,350,20,100,82.1504
63.6886,350,20,100,70.7403
76.1705,350,20,100,86.916
70.5073,350,20,100,70.7523
60.1906,396,20.6,173,48.4686
70.9247,396,20.6,173,71.6145
82.9849,396,20.6,173,65.6438
74.4415,396,20.6,173,74.4304
34.4605,4.6,8.9,120,121.9548
75.4143,4.6,8.9,120,75.273
50.3552,2600,61,13,10.8999
44.8914,2600,61,13,5.3996
59.5449,2600,61,13,13.039
80.7881,2600,61,13,8.8202
54.7686,1434,45,101,60.5296
69.582,1434,45,101,65.9116
76.0065,1434,45,101,61.6867
73.1961,1434,45,101,70.7868
32.5979,1378,52,127,17.2574
55.6924,1378,52,127,24.8564
82.5765,1378,52,127,43.4111
54.1043,1378,52,127,31.21
31.4352,1245,38,141,22.6555
51.5741,1245,38,141,24.4976
81.6667,1245,38,141,23.3102
71.2037,1245,38,141,42.6635
42.7219,1494,39,105,21.3417
59.2282,1494,39,105,13.407
78.7348,1494,39,105,9.9546
54.6,1494,39,105,17.5961
64.7071,1806,53,43,22.7224
86.8319,1806,53,43,17.2059
88.2352,1806,53,43,19.2002
67.9298,1806,53,43,23.899
48.2498,1752,45,41,9.5522
68.4967,1752,45,41,12.3747
89.2529,1752,45,41,9.5519
51.8322,1752,45,41,11.5841
33.8186,1305,37,110,23.6286
45.898,1305,37,110,33.169
67.0262,1305,37,110,50.879
90.9043,1305,37,110,51.2681
38.7848,1673,46,51,13.7997
50.8765,1673,46,51,17.2144
62.8642,1673,46,51,21.0619
50.2434,1673,46,51,14.4399
59.5061,4100,69,5.3,3.7351
55.1828,4100,69,5.3,1.8373
68.6663,4100,69,5.3,1.8409
49.1501,4100,69,5.3,2.0651
53.4398,1500,33,51,19.0378
64.0421,1500,33,51,30.3618
76.5528,1500,33,51,19.2891
54.7607,1500,33,51,21.2644
73.5592,2200,46,48,33.9978
60.4456,2200,46,48,30.2226
74.1368,2200,46,48,22.3345
65.1808,2200,46,48,38.2556
52.9442,2200,46,48,23.0106
56.3937,2800,65,6.2,4.4779
67.2429,2800,65,6.2,4.2913
78.9029,2800,65,6.2,3.8116
48.0422,2800,65,6.2,4.6345
