Porosity,Displacement,Force,Time,YM,UTS,Fstrain,StrainRate
47.9495,1.416601301,47.9495,16.97900072,2900,73,12.3,0.004907797
56.7738,1.393849881,56.7738,16.70999971,2900,73,12.3,0.004906713
61.2289,1.376637526,61.2289,16.50499979,2900,73,12.3,0.004906312
64.6604,1.724340569,64.6604,20.67900093,2900,73,12.3,0.004905063
66.8839,1.024407952,66.8839,12.28500047,2900,73,12.3,0.004905111
74.9998,1.961026517,74.9998,23.51999972,2900,73,12.3,0.004904528
48.707,1.382355176,48.707,16.56500068,2900,73,12.3,0.004908844
50.1729,1.292898095,50.1729,15.50500019,2900,73,12.3,0.004905052
56.0736,1.088373837,56.0736,13.05000041,2900,73,12.3,0.004905899
54.7468,1.049422505,54.7468,12.5820004,2900,73,12.3,0.004906274
60.496,0.505831184,60.496,6.061999947,2900,73,12.3,0.004908409
60.3813,0.382604441,60.3813,4.578000218,2900,73,12.3,0.004916152
64.341,0.604817578,64.341,7.241999775,2900,73,12.3,0.004912663
60.5246,1.366036027,60.5246,16.37600062,2900,73,12.3,0.004906879
69.5209,0.864254855,69.5209,10.36299959,2900,73,12.3,0.004905773
68.4481,0.638587341,68.4481,7.653000098,2900,73,12.3,0.004908397
73.2964,0.937095042,73.2964,11.23300043,2900,73,12.3,0.004907259
74.4142,1.46698792,74.4142,17.59700075,2900,73,12.3,0.00490387
77.9112,0.834296886,77.9112,10.00499979,2900,73,12.3,0.004905176
77.5058,1.723149453,77.5058,20.6690007,2900,73,12.3,0.004904046
76.5149,1.072888691,76.5149,12.86999982,2900,73,12.3,0.004903737
48.6554,1.054782778,48.6554,12.64800039,2080,52,12,0.004905601
52.176,1.121428923,52.176,13.44499991,2080,52,12,0.00490639
58.4636,1.117140718,58.4636,13.39500013,2080,52,12,0.004905872
62.5731,1.45650556,62.5731,17.46699968,2080,52,12,0.004905067
66.9294,1.521186284,66.9294,18.24600092,2080,52,12,0.004904173
73.0568,1.616420374,73.0568,19.39099947,2080,52,12,0.004903489
78.2315,2.978227925,78.2315,35.73599878,2080,52,12,0.004902336
44.5349,1.323570777,44.5349,15.87599942,2080,52,12,0.004904076
45.3978,1.028517459,45.3978,12.32900015,2080,52,12,0.004907213
50.5623,1.293434123,50.5623,15.50699964,2080,52,12,0.004906453
51.2344,1.062823254,51.2344,12.73599967,2080,52,12,0.004908842
55.0156,1.790152915,55.0156,21.46399936,2080,52,12,0.004906034
55.6834,1.114162761,55.6834,13.34800039,2080,52,12,0.004910023
56.8325,0.997308815,56.8325,11.9580004,2080,52,12,0.004905939
58.5974,1.367167692,58.5974,16.38899911,2080,52,12,0.004907049
63.6274,1.007552803,63.6274,12.0820004,2080,52,12,0.004905463
64.2605,2.114866289,64.2605,25.3669993,2080,52,12,0.004904163
70.1578,2.285382592,70.1578,27.41000064,2080,52,12,0.00490457
70.5524,2.616647656,70.5524,31.39099941,2080,52,12,0.004903331
74.4507,2.4213549,74.4507,29.04600009,2080,52,12,0.004903692
74.6936,4.009544788,74.6936,48.11099878,2080,52,12,0.004902321
47.0562,1.260438664,47.0562,15.1170004,2300,52,4,0.00490464
47.1123,1.488309828,47.1123,17.85400072,2300,52,4,0.00490353
48.0919,1.276042973,48.0919,15.30499998,2300,52,4,0.004904368
51.3155,1.807007947,51.3155,21.67499986,2300,52,4,0.004904018
52.9553,1.392182321,52.9553,16.69800058,2300,52,4,0.004904364
53.1711,1.841373239,53.1711,22.09100023,2300,52,4,0.004903176
57.029,1.432443932,57.029,17.18300064,2300,52,4,0.004903766
57.1067,1.627319688,57.1067,19.5210008,2300,52,4,0.004903677
57.1196,1.416780017,57.1196,16.99300066,2300,52,4,0.004904372
62.5138,1.445665918,62.5138,17.34100023,2300,52,4,0.004903937
63.0792,1.440782063,63.0792,17.28200021,2300,52,4,0.004904055
63.2604,1.751439739,63.2604,21.00299969,2300,52,4,0.004905293
65.828,2.289670923,65.828,27.47199962,2300,52,4,0.004902684
66.2251,1.47216945,66.2251,17.66000047,2300,52,4,0.004903635
