Porosity,Young Modulus,Ultimate Strength,Fracture Strain,StrainRate
56.7738,2900,73,12.3,0.004906713
61.2289,2900,73,12.3,0.004906312
64.6604,2900,73,12.3,0.004905063
66.8839,2900,73,12.3,0.004905111
74.9998,2900,73,12.3,0.004904528
48.707,2900,73,12.3,0.004908844
56.0736,2900,73,12.3,0.004905899
54.7468,2900,73,12.3,0.004906274
60.496,2900,73,12.3,0.004908409
60.3813,2900,73,12.3,0.004916152
64.341,2900,73,12.3,0.004912663
60.5246,2900,73,12.3,0.004906879
68.4481,2900,73,12.3,0.004908397
73.2964,2900,73,12.3,0.004907259
74.4142,2900,73,12.3,0.00490387
77.9112,2900,73,12.3,0.004905176
77.5058,2900,73,12.3,0.004904046
48.6554,2080,52,12,0.004905601
58.4636,2080,52,12,0.004905872
62.5731,2080,52,12,0.004905067
66.9294,2080,52,12,0.004904173
73.0568,2080,52,12,0.004903489
78.2315,2080,52,12,0.004902336
44.5349,2080,52,12,0.004904076
50.5623,2080,52,12,0.004906453
51.2344,2080,52,12,0.004908842
55.0156,2080,52,12,0.004906034
55.6834,2080,52,12,0.004910023
56.8325,2080,52,12,0.004905939
58.5974,2080,52,12,0.004907049
64.2605,2080,52,12,0.004904163
70.1578,2080,52,12,0.00490457
70.5524,2080,52,12,0.004903331
74.6936,2080,52,12,0.004902321
47.0562,2300,52,4,0.00490464
47.1123,2300,52,4,0.00490353
51.3155,2300,52,4,0.004904018
52.9553,2300,52,4,0.004904364
53.1711,2300,52,4,0.004903176
57.029,2300,52,4,0.004903766
57.1067,2300,52,4,0.004903677
57.1196,2300,52,4,0.004904372
63.0792,2300,52,4,0.004904055
63.2604,2300,52,4,0.004905293
65.828,2300,52,4,0.004902684
66.2251,2300,52,4,0.004903635
66.8465,2300,52,4,0.004903136
70.8468,2300,52,4,0.00490281
71.7358,2300,52,4,0.004903207
75.7922,2300,52,4,0.004902588
76.1029,2300,52,4,0.004902831
51.7165,1000,28,55,0.004902648
50.999,1000,28,55,0.004902418
55.4459,1000,28,55,0.004902283
62.6532,1000,28,55,0.004902423
62.9868,1000,28,55,0.004902338
66.7984,1000,28,55,0.004902378
65.7061,1000,28,55,0.004902394
72.0817,1000,28,55,0.004902336
79.9791,1000,28,55,0.004902263
85.6554,1000,28,55,0.004902091
86.8848,1000,28,55,0.004902322
43.4847,350,20,100,0.004902413
46.3002,350,20,100,0.004902132
47.1119,350,20,100,0.004902216
50.3309,350,20,100,0.004902155
53.4491,350,20,100,0.004902121
54.9669,350,20,100,0.004902166
57.5761,350,20,100,0.004902119
58.0576,350,20,100,0.004902156
58.163,350,20,100,0.004902132
61.3637,350,20,100,0.004902174
66.1281,350,20,100,0.004902139
66.6188,350,20,100,0.004902159
66.7701,350,20,100,0.004902137
68.8565,350,20,100,0.004902164
71.6904,350,20,100,0.00490218
76.895,350,20,100,0.004902123
77.9176,350,20,100,0.004902148
49.219,396,20.6,173,0.004902055
50.7825,396,20.6,173,0.004902353
51.338,396,20.6,173,0.004902235
56.5259,396,20.6,173,0.004902512
56.8977,396,20.6,173,0.004902196
60.428,396,20.6,173,0.00490241
60.643,396,20.6,173,0.004902164
61.2613,396,20.6,173,0.004902409
64.787,396,20.6,173,0.004902191
65.6338,396,20.6,173,0.004902158
66.5298,396,20.6,173,0.004902317
70.974,396,20.6,173,0.00490219
71.8117,396,20.6,173,0.004902215
75.1807,396,20.6,173,0.004902147
75.4988,396,20.6,173,0.004902157
81.1033,396,20.6,173,0.004902195
83.0297,396,20.6,173,0.004902183
41.2906,4.6,8.9,120,0.004902042
50.2851,4.6,8.9,120,0.004902039
55.4897,4.6,8.9,120,0.004902037
59.4234,4.6,8.9,120,0.004902048
69.3834,4.6,8.9,120,0.004902038
54.7512,2600,61,13,0.004904319
60.5054,2600,61,13,0.004906829
65.9692,2600,61,13,0.004905035
75.5119,2600,61,13,0.004903557
45.0701,2600,61,13,0.004907309
50.5651,2600,61,13,0.004906293
53.5807,2600,61,13,0.00490528
58.218,2600,61,13,0.004904214
57.8562,2600,61,13,0.004904718
59.8576,2600,61,13,0.004903286
66.693,2600,61,13,0.004903307
65.0623,2600,61,13,0.004903949
71.3884,2600,61,13,0.004903965
71.9781,2600,61,13,0.004903708
77.491,2600,61,13,0.004902869
53.6595,1434,45,101,0.004902609
56.437,1434,45,101,0.004902156
57.438,1434,45,101,0.004902166
58.4297,1434,45,101,0.004902091
62.697,1434,45,101,0.004902127
68.4118,1434,45,101,0.004902147
68.5434,1434,45,101,0.004902057
69.6431,1434,45,101,0.004902117
70.7194,1434,45,101,0.004902098
72.4254,1434,45,101,0.00490207
72.5757,1434,45,101,0.004902088
73.4546,1434,45,101,0.004902119
76.8008,1434,45,101,0.004902285
78.5772,1434,45,101,0.004902096
83.244,1434,45,101,0.004902153
87.5913,1434,45,101,0.004902128
92.587,1434,45,101,0.004902349
23.1404,1378,52,127,0.004902375
28.8891,1378,52,127,0.004902296
33.3825,1378,52,127,0.004902252
34.8898,1378,52,127,0.004902158
37.2434,1378,52,127,0.004902346
40.5956,1378,52,127,0.004902163
52.2356,1378,52,127,0.004902126
60.1287,1378,52,127,0.004902106
62.2732,1378,52,127,0.004902318
65.8821,1378,52,127,0.004902089
70.6655,1378,52,127,0.004902131
78.3922,1378,52,127,0.004902374
82.5622,1378,52,127,0.004902096
88.5344,1378,52,127,0.004902573
27.9213,1245,38,141,0.004902777
30.0926,1245,38,141,0.004902156
30.9167,1245,38,141,0.004902334
32.3287,1245,38,141,0.004902284
33.7593,1245,38,141,0.004902278
35.7731,1245,38,141,0.004902171
39.5509,1245,38,141,0.004902071
41.2454,1245,38,141,0.004902304
50.7546,1245,38,141,0.004902089
51.7685,1245,38,141,0.004902366
59.2963,1245,38,141,0.0049021
60.3241,1245,38,141,0.004902131
60.5417,1245,38,141,0.004902298
73.9907,1245,38,141,0.004902091
84.7407,1245,38,141,0.00490207
86.7963,1245,38,141,0.00490213
88.6065,1245,38,141,0.004902336
30.4789,1494,39,105,0.00490369
35.0296,1494,39,105,0.004902622
39.0467,1494,39,105,0.004902443
40.0316,1494,39,105,0.004902375
44.9835,1494,39,105,0.004902423
45.6675,1494,39,105,0.004902398
46.4928,1494,39,105,0.004902335
49.712,1494,39,105,0.004902221
57.345,1494,39,105,0.004902336
59.6249,1494,39,105,0.004902311
60.3544,1494,39,105,0.004902251
61.7953,1494,39,105,0.004902277
65.2927,1494,39,105,0.004902287
68.3614,1494,39,105,0.004902357
77.0659,1494,39,105,0.00490211
85.8024,1494,39,105,0.00490258
60.4928,1806,53,43,0.004902833
62.0953,1806,53,43,0.004902886
62.2148,1806,53,43,0.004902709
62.9408,1806,53,43,0.004902944
63.3437,1806,53,43,0.004903014
69.063,1806,53,43,0.004902337
69.1914,1806,53,43,0.004902524
76.7301,1806,53,43,0.004902498
77.2082,1806,53,43,0.004902544
79.3286,1806,53,43,0.004902626
87.1329,1806,53,43,0.0049027
87.4782,1806,53,43,0.004902724
87.4915,1806,53,43,0.004902513
38.0897,1752,45,41,0.004903812
40.5585,1752,45,41,0.004904203
41.9181,1752,45,41,0.00490494
43.3553,1752,45,41,0.004904136
43.8905,1752,45,41,0.004904098
45.8069,1752,45,41,0.004904585
48.3793,1752,45,41,0.004904261
59.1825,1752,45,41,0.004902342
61.8326,1752,45,41,0.00490305
63.5461,1752,45,41,0.004903317
66.2998,1752,45,41,0.004902419
