Index,Polymer,Debye Ang,Debye Ang,Tg
1,Polyethylene,0.6776,?50.0178,195
2,Poly (vinyl acetate)  ,7.7949, ?324.9730,301
3,Poly (vinyl butyral),7.3902,?889.1739,324
4,Poly (vinylidene fluoride),3.8068,?98.8344,233
5,Poly (vinylidene chloride),5.0194,?223.2520,256
6,Poly (vinyl isobutyral),7.2233,?716.3426,329
7,Poly (vinyl ethyl ether),3.5334,?286.2433,254
8,Poly (N-vinyl pyrrolidone),13.2808,?458.8428,418
9,Poly (vinyl propionate),2.3829,?477.3837,293
10,Poly (vinyl n-butyl ether),2.8052,?704.9683 ,221
11,Poly (vinyl sec-butyl ether),3.0442,?536.6563,253
12,Poly (vinyl isobutyl ether),3.6811,?510.9593,251
13,Poly (vinyl n-octyl ether),1.2418,?2515.0488,194
14,Poly (vinyl n-decyl ether),6.8052,?4050.9702,197
15,Poly (N-vinyl carbazole),17.5803,?1301.0913,423
16,Poly (vinyl isopropyl ether),3.3098,?367.8203,270
17,Poly (b-vinyl naphthalene),14.6455,?1051.8587,424
18,Poly (a-vinyl naphthalene),14.2807,?918.0995,432
19,Poly (vinyl chloroacetate),11.5354,?511.4806,348
20,Poly (vinyl 2-ethylhexyl ether),2.1186,?2524.2913,207
21,Poly (vinyl n-hexyl ether),3.255,?1415.7591,209
22,Poly (p-vinyl pyridine),11.5756,?474.2108,415
23,Poly (ethylethylene),1.0142,?195.7518,228
24,Poly (butylethylene),1.702,?536.7889,220
25,Poly (propylene),0.661,?104.2434,233
26,Poly (1-pentene),0.87,?303.4541,220
27,Poly (chlorotrifluoroethylene),8.4682,?240.3014,373
28,Poly (1-hepatene),2.045,?802.8461,220
29,Poly (heptafluoropropyl ethylene),8.543,?602.6258,331
30,Poly (5-methyl-1-hexene),1.3176,?644.5946,259
31,Poly (3-phenyl-1-propene),8.016,?707.0980,333
32,"Poly (1,2-butadiene)",1.0067,?165.3425,269
33,Poly (ethyl methacrylate),10.5208,?573.5125,324
34,Poly (isopropyl a-chloroacrylate),10.6624,?763.5746,363
35,Poly (n-propyl a-chloroacrylate),10.7744,?942.4947,344
36,Poly (isobutyl methacrylate),10.0135,?1023.5389,337
37,Poly (neopentyl methacrylate),8.2808,?1162.3670,306
38,Poly (2-ethylbutyl methacrylate),6.1507,?1556.3205,284
39,Poly (n-hexyl methacrylate),9.0823,?2310.6755,274
40,Poly (n-octyl methacrylate),7.2768,?3875.9682,228
41,Poly (n-propyl methacrylate),10.0625,?861.9543,308
42,Poly (isopropyl methacrylate),10.0824,?704.7469,354
43,"Poly (3,3-dimethylbutyl methacrylate)",10.2182,?1655.4510,318
44,Poly (sec-butyl methacrylate),9.0868,?960.1252,330
45,Poly (phenyl methacrylate),14.3442,?1124.6720,407
46,Poly (methyl methacrylate),10.9884,?369.3694,378
47,Poly (t-butyl methacrylate),10.0572,?819.0548,380
48,Poly (2-hydroxyethylmethacrylate),13.3062,?696.3043,396
49,Poly (1-phenylethyl methacrylate),6.8578,?1465.5384,299
50,Poly (ethyl a-chloroacrylate),11.7166,?627.3794,366
51,Poly (sec-butyl a-chloroacrylate),10.008,?1051.9500,347
52,Poly (pentyl methacrylate),8.317,?1721.6799,268
53,Poly (trimethylsilyl methacrylate),10.5548,?1000.3994,341
54,"Poly (2,3-xylenyl methacrylate)",15.1894,?1527.7505,398
55,"Poly (2,6-xylenyl methacrylate)",18.463,?1353.6069,440
56,Poly (cyclobutyl methacrylate),9.1436,?893.9148,351
57,Poly (cyclopenty methacrylate),8.8336,?1094.4131,348
58,Poly (2-tert-butylaminoethyl methacrylat),8.6144,?1712.1796,306
59,"Poly (3,3,5-trimethylhexylmethacrylate)",7.004,?2925.2411,274
60,Poly (2-decyl methacrylate),5.1567,?4966.1840,208
