Index,Debye Ang,Debye Ang,Tg
1,0.6776,?50.0178,195
2,7.7949, ?324.9730,301
3,7.3902,?889.1739,324
4,3.8068,?98.8344,233
5,5.0194,?223.2520,256
6,7.2233,?716.3426,329
7,3.5334,?286.2433,254
8,13.2808,?458.8428,418
9,2.3829,?477.3837,293
10,2.8052,?704.9683 ,221
11,3.0442,?536.6563,253
12,3.6811,?510.9593,251
13,1.2418,?2515.0488,194
14,6.8052,?4050.9702,197
15,17.5803,?1301.0913,423
16,3.3098,?367.8203,270
17,14.6455,?1051.8587,424
18,14.2807,?918.0995,432
19,11.5354,?511.4806,348
20,2.1186,?2524.2913,207
21,3.255,?1415.7591,209
22,11.5756,?474.2108,415
23,1.0142,?195.7518,228
24,1.702,?536.7889,220
25,0.661,?104.2434,233
26,0.87,?303.4541,220
27,8.4682,?240.3014,373
28,2.045,?802.8461,220
29,8.543,?602.6258,331
30,1.3176,?644.5946,259
31,8.016,?707.0980,333
32,1.0067,?165.3425,269
33,10.5208,?573.5125,324
34,10.6624,?763.5746,363
35,10.7744,?942.4947,344
36,10.0135,?1023.5389,337
37,8.2808,?1162.3670,306
38,6.1507,?1556.3205,284
39,9.0823,?2310.6755,274
40,7.2768,?3875.9682,228
41,10.0625,?861.9543,308
42,10.0824,?704.7469,354
43,10.2182,?1655.4510,318
44,9.0868,?960.1252,330
45,14.3442,?1124.6720,407
46,10.9884,?369.3694,378
47,10.0572,?819.0548,380
48,13.3062,?696.3043,396
49,6.8578,?1465.5384,299
50,11.7166,?627.3794,366
51,10.008,?1051.9500,347
52,8.317,?1721.6799,268
53,10.5548,?1000.3994,341
54,15.1894,?1527.7505,398
55,18.463,?1353.6069,440
56,9.1436,?893.9148,351
57,8.8336,?1094.4131,348
58,8.6144,?1712.1796,306
59,7.004,?2925.2411,274
60,5.1567,?4966.1840,208
