Porosity,Young Modulus,Ultimate Strength,Fracture Strain,Toughness
47.9495,2900,73,12.3,0.7817
50.1729,2900,73,12.3,0.6628
69.5209,2900,73,12.3,0.157
76.5149,2900,73,12.3,0.0976
52.176,2080,52,12,0.4034
45.3978,2080,52,12,0.3773
63.6274,2080,52,12,0.1987
74.4507,2080,52,12,0.1241
48.0919,2300,52,4,0.3958
62.5138,2300,52,4,0.2705
70.8943,2300,52,4,0.1897
75.516,2300,52,4,0.0794
55.1397,1000,28,55,1.5888
79.6729,1000,28,55,0.4576
70.8888,1000,28,55,0.6843
51.7524,350,20,100,2.5133
63.6886,350,20,100,1.1457
76.1705,350,20,100,0.3681
70.5073,350,20,100,0.4482
60.1906,396,20.6,173,2.4953
70.9247,396,20.6,173,1.3688
82.9849,396,20.6,173,0.7327
74.4415,396,20.6,173,1.0215
34.4605,4.6,8.9,120,0.6785
75.4143,4.6,8.9,120,0.0912
50.3552,2600,61,13,0.8486
44.8914,2600,61,13,0.3326
59.5449,2600,61,13,0.754
80.7881,2600,61,13,0.1531
54.7686,1434,45,101,2.5968
69.582,1434,45,101,1.6189
76.0065,1434,45,101,0.6762
73.1961,1434,45,101,1.9331
32.5979,1378,52,127,1.0119
55.6924,1378,52,127,0.529
82.5765,1378,52,127,0.4386
54.1043,1378,52,127,0.901
31.4352,1245,38,141,1.5614
51.5741,1245,38,141,0.896
81.6667,1245,38,141,0.2431
71.2037,1245,38,141,0.7938
42.7219,1494,39,105,1.4276
59.2282,1494,39,105,0.2886
78.7348,1494,39,105,0.0522
54.6,1494,39,105,0.5242
64.7071,1806,53,43,0.9623
86.8319,1806,53,43,0.2005
88.2352,1806,53,43,0.1856
67.9298,1806,53,43,0.7856
48.2498,1752,45,41,0.5423
68.4967,1752,45,41,0.335
89.2529,1752,45,41,0.0487
51.8322,1752,45,41,0.7008
33.8186,1305,37,110,1.4201
45.898,1305,37,110,1.4927
67.0262,1305,37,110,1.3624
90.9043,1305,37,110,0.2934
38.7848,1673,46,51,1.2927
50.8765,1673,46,51,1.2092
62.8642,1673,46,51,0.8329
50.2434,1673,46,51,0.9964
59.5061,4100,69,5.3,0.1331
55.1828,4100,69,5.3,0.0558
68.6663,4100,69,5.3,0.0278
49.1501,4100,69,5.3,0.0797
53.4398,1500,33,51,0.9574
64.0421,1500,33,51,0.939
76.5528,1500,33,51,0.3394
54.7607,1500,33,51,1.0547
73.5592,2200,46,48,0.8466
60.4456,2200,46,48,1.6916
74.1368,2200,46,48,0.6311
65.1808,2200,46,48,1.6547
52.9442,2200,46,48,1.5801
56.3937,2800,65,6.2,0.2133
67.2429,2800,65,6.2,0.1045
78.9029,2800,65,6.2,0.0288
48.0422,2800,65,6.2,0.2711
