Porosity,YM,UTS,FS,ystrength
50.3552,2600,61,13,9.7036
54.7512,2600,61,13,8.3156
60.5054,2600,61,13,5.147
65.9692,2600,61,13,5.2499
75.5119,2600,61,13,2.9243
80.7881,2600,61,13,2.0826
45.0701,2600,61,13,9.2863
44.8914,2600,61,13,8.5618
50.5651,2600,61,13,9.0581
53.5807,2600,61,13,9.146
58.218,2600,61,13,7.5355
57.8562,2600,61,13,7.6903
59.5449,2600,61,13,6.6775
59.8576,2600,61,13,6.7704
66.693,2600,61,13,4.923
65.0623,2600,61,13,5.2955
71.3884,2600,61,13,3.9241
71.9781,2600,61,13,3.9726
77.491,2600,61,13,3.072
23.1404,1378,52,127,8.3359
28.8891,1378,52,127,6.5788
32.5979,1378,52,127,6.2712
33.3825,1378,52,127,6.2672
34.8898,1378,52,127,6.7457
37.2434,1378,52,127,5.5623
40.5956,1378,52,127,4.237
52.2356,1378,52,127,2.7352
54.1043,1378,52,127,2.5805
55.6924,1378,52,127,2.0773
60.1287,1378,52,127,2.0447
62.2732,1378,52,127,1.9842
65.8821,1378,52,127,1.3753
70.6655,1378,52,127,1.4587
78.3922,1378,52,127,0.9207
82.5622,1378,52,127,0.5919
82.5765,1378,52,127,0.8151
88.5344,1378,52,127,0.3155
27.9213,1245,38,141,7.8119
30.0926,1245,38,141,7.2225
30.9167,1245,38,141,5.9396
31.4352,1245,38,141,7.554
32.3287,1245,38,141,7.6041
33.7593,1245,38,141,6.8434
35.7731,1245,38,141,5.8534
39.5509,1245,38,141,4.6425
41.2454,1245,38,141,4.8452
50.7546,1245,38,141,3.3055
51.5741,1245,38,141,3.7168
51.7685,1245,38,141,3.3199
59.2963,1245,38,141,2.5152
60.3241,1245,38,141,2.2802
60.5417,1245,38,141,2.4739
71.2037,1245,38,141,1.6485
73.9907,1245,38,141,1.4129
81.6667,1245,38,141,0.9819
84.7407,1245,38,141,0.9699
86.7963,1245,38,141,0.4845
88.6065,1245,38,141,0.5922
60.4928,1806,53,43,4.7821
62.0953,1806,53,43,4.9373
62.2148,1806,53,43,4.7342
62.9408,1806,53,43,4.2713
63.3437,1806,53,43,4.1361
64.7071,1806,53,43,4.1653
67.9298,1806,53,43,3.0741
69.063,1806,53,43,2.8939
69.1914,1806,53,43,3.1031
76.7301,1806,53,43,1.6235
77.2082,1806,53,43,1.8003
79.3286,1806,53,43,1.3301
86.8319,1806,53,43,1.0607
87.1329,1806,53,43,0.804
87.4782,1806,53,43,0.6595
87.4915,1806,53,43,0.839
88.2352,1806,53,43,0.9237
