Porosity,YM,UTS,FS,ystrength
47.9495,2900,73,12.3,13.4369
56.7738,2900,73,12.3,11.9741
61.2289,2900,73,12.3,9.9764
64.6604,2900,73,12.3,8.043
66.8839,2900,73,12.3,5.4073
74.9998,2900,73,12.3,3.2141
48.707,2900,73,12.3,14.3111
50.1729,2900,73,12.3,13.368
56.0736,2900,73,12.3,11.677
54.7468,2900,73,12.3,11.3131
60.496,2900,73,12.3,5.6172
60.3813,2900,73,12.3,3.879
64.341,2900,73,12.3,5.0569
60.5246,2900,73,12.3,8.0662
69.5209,2900,73,12.3,5.0734
68.4481,2900,73,12.3,4.3512
73.2964,2900,73,12.3,3.5098
74.4142,2900,73,12.3,3.6926
77.9112,2900,73,12.3,2.1313
77.5058,2900,73,12.3,2.1264
76.5149,2900,73,12.3,2.2698
48.6554,2080,52,12,10.0114
52.176,2080,52,12,9.4389
58.4636,2080,52,12,7.8925
62.5731,2080,52,12,6.879
66.9294,2080,52,12,5.2321
73.0568,2080,52,12,2.9791
78.2315,2080,52,12,2.1708
44.5349,2080,52,12,10.4543
45.3978,2080,52,12,9.7467
50.5623,2080,52,12,9.3681
51.2344,2080,52,12,8.6113
55.0156,2080,52,12,8.837
55.6834,2080,52,12,7.7119
56.8325,2080,52,12,6.3418
58.5974,2080,52,12,5.7001
63.6274,2080,52,12,4.8606
64.2605,2080,52,12,5.5445
70.1578,2080,52,12,3.4374
70.5524,2080,52,12,3.6695
74.4507,2080,52,12,2.4667
74.6936,2080,52,12,2.3727
47.0562,2300,52,4,7.0939
47.1123,2300,52,4,6.8676
48.0919,2300,52,4,8.0136
51.3155,2300,52,4,6.0642
52.9553,2300,52,4,6.2194
53.1711,2300,52,4,5.0797
57.029,2300,52,4,4.3687
57.1067,2300,52,4,4.8622
57.1196,2300,52,4,4.987
62.5138,2300,52,4,4.061
63.0792,2300,52,4,4.7019
63.2604,2300,52,4,4.2526
65.828,2300,52,4,3.2864
66.2251,2300,52,4,3.7114
66.8465,2300,52,4,3.4166
70.8468,2300,52,4,2.8915
70.8943,2300,52,4,3.0917
71.7358,2300,52,4,2.8662
75.516,2300,52,4,1.819
75.7922,2300,52,4,2.0569
76.1029,2300,52,4,2.1384
51.7165,1000,28,55,4.7436
50.999,1000,28,55,4.6797
55.4459,1000,28,55,4.2414
55.1397,1000,28,55,4.3143
62.6532,1000,28,55,3.3853
62.9868,1000,28,55,3.3631
66.7984,1000,28,55,2.8713
65.7061,1000,28,55,2.8094
72.0817,1000,28,55,2.2795
70.8888,1000,28,55,2.2675
79.6729,1000,28,55,1.804
79.9791,1000,28,55,1.809
85.6554,1000,28,55,1.2259
86.8848,1000,28,55,1.0995
43.4847,350,20,100,3.2314
46.3002,350,20,100,3.3881
47.1119,350,20,100,2.8413
50.3309,350,20,100,2.4781
51.7524,350,20,100,2.1049
53.4491,350,20,100,2.4823
54.9669,350,20,100,1.6335
57.5761,350,20,100,1.5459
58.0576,350,20,100,1.7413
58.163,350,20,100,1.2866
61.3637,350,20,100,1.0285
63.6886,350,20,100,1.0299
66.1281,350,20,100,0.5993
66.6188,350,20,100,0.8225
66.7701,350,20,100,0.873
68.8565,350,20,100,0.3256
70.5073,350,20,100,0.2827
71.6904,350,20,100,0.3603
76.1705,350,20,100,0.1103
76.895,350,20,100,0.1367
77.9176,350,20,100,0.1143
49.219,396,20.6,173,6.5483
50.7825,396,20.6,173,6.6156
51.338,396,20.6,173,6.666
56.5259,396,20.6,173,5.0936
56.8977,396,20.6,173,5.0415
60.1906,396,20.6,173,5.217
60.428,396,20.6,173,3.8887
60.643,396,20.6,173,4.1125
61.2613,396,20.6,173,3.4084
64.787,396,20.6,173,2.4695
65.6338,396,20.6,173,2.6414
66.5298,396,20.6,173,2.3515
70.9247,396,20.6,173,1.559
70.974,396,20.6,173,1.8121
71.8117,396,20.6,173,1.4905
74.4415,396,20.6,173,1.0528
75.1807,396,20.6,173,1.1811
75.4988,396,20.6,173,1.0533
81.1033,396,20.6,173,1.061
82.9849,396,20.6,173,0.9403
83.0297,396,20.6,173,0.9321
34.4605,4.6,8.9,120,0.4815
41.2906,4.6,8.9,120,0.5333
50.2851,4.6,8.9,120,0.5229
55.4897,4.6,8.9,120,0.4763
59.4234,4.6,8.9,120,0.5815
69.3834,4.6,8.9,120,0.408
75.4143,4.6,8.9,120,0.1855
53.6595,1434,45,101,3.7069
54.7686,1434,45,101,3.9147
56.437,1434,45,101,4.2685
57.438,1434,45,101,3.9536
58.4297,1434,45,101,2.9687
62.697,1434,45,101,2.3923
68.4118,1434,45,101,2.0497
68.5434,1434,45,101,1.863
69.582,1434,45,101,2.0875
69.6431,1434,45,101,3.6597
70.7194,1434,45,101,1.8562
72.4254,1434,45,101,1.6319
72.5757,1434,45,101,2.1581
