Porosity,YM,UTS,FS,ym
50.3552,2600,61,13,216.6598
54.7512,2600,61,13,194.506
60.5054,2600,61,13,173.3505
65.9692,2600,61,13,135.0253
75.5119,2600,61,13,77.5103
80.7881,2600,61,13,60.6674
45.0701,2600,61,13,244.0487
44.8914,2600,61,13,259.075
50.5651,2600,61,13,215.5951
53.5807,2600,61,13,207.2995
58.218,2600,61,13,179.6947
57.8562,2600,61,13,178.8135
59.5449,2600,61,13,158.5425
59.8576,2600,61,13,153.577
66.693,2600,61,13,122.245
65.0623,2600,61,13,132.5908
71.3884,2600,61,13,99.3884
71.9781,2600,61,13,102.9886
77.491,2600,61,13,78.6896
23.1404,1378,52,127,224.921
28.8891,1378,52,127,178.2018
32.5979,1378,52,127,163.7376
33.3825,1378,52,127,157.6876
34.8898,1378,52,127,160.4891
37.2434,1378,52,127,143.8438
40.5956,1378,52,127,126.6959
52.2356,1378,52,127,77.1736
54.1043,1378,52,127,71.8967
55.6924,1378,52,127,57.4677
60.1287,1378,52,127,55.2315
62.2732,1378,52,127,51.4837
65.8821,1378,52,127,34.3213
70.6655,1378,52,127,36.7362
78.3922,1378,52,127,24.215
82.5622,1378,52,127,11.1353
82.5765,1378,52,127,20.8592
88.5344,1378,52,127,6.4221
27.9213,1245,38,141,174.7341
30.0926,1245,38,141,158.439
30.9167,1245,38,141,138.8429
31.4352,1245,38,141,156.0325
32.3287,1245,38,141,156.7307
33.7593,1245,38,141,144.1993
35.7731,1245,38,141,133.5305
39.5509,1245,38,141,133.1693
41.2454,1245,38,141,122.0848
50.7546,1245,38,141,89.6607
51.5741,1245,38,141,101.0629
51.7685,1245,38,141,93.0889
59.2963,1245,38,141,68.6472
60.3241,1245,38,141,61.0976
60.5417,1245,38,141,69.3208
71.2037,1245,38,141,41.657
73.9907,1245,38,141,33.8082
81.6667,1245,38,141,24.7961
84.7407,1245,38,141,20.7467
86.7963,1245,38,141,9.198
88.6065,1245,38,141,16.1909
60.4928,1806,53,43,128.2001
62.0953,1806,53,43,120.6574
62.2148,1806,53,43,119.0153
62.9408,1806,53,43,112.9354
63.3437,1806,53,43,106.5851
64.7071,1806,53,43,100.7878
67.9298,1806,53,43,83.3754
69.063,1806,53,43,77.9785
69.1914,1806,53,43,80.8282
76.7301,1806,53,43,42.7623
77.2082,1806,53,43,52.1353
79.3286,1806,53,43,39.9999
86.8319,1806,53,43,31.8542
87.1329,1806,53,43,23.2332
87.4782,1806,53,43,19.162
87.4915,1806,53,43,25.8591
88.2352,1806,53,43,25.0492
