"Stress ratio, R ",Crack length (mm), ?K, actaual fatigue crack
0,0.0671,4.12E-06,4.79E-09
0,0.073,4.67E-06,4.87E-09
0,0.0854,5.91E-06,5.34E-09
0,0.091,6.50E-06,5.35E-09
0,0.1023,7.75E-06,5.68E-09
0,0.1082,8.43E-06,5.69E-09
0,0.1176,9.55E-06,5.88E-09
0,0.1678,1.63E-05,7.99E-09
0,0.2113,2.30E-05,9.60E-09
0,0.2437,2.86E-05,1.06E-08
0,0.2629,3.20E-05,1.10E-08
0,0.2913,3.74E-05,1.17E-08
0,0.3447,4.82E-05,1.33E-08
0,0.3897,5.81E-05,1.44E-08
0,0.4216,6.55E-05,1.51E-08
0,0.4982,8.46E-05,1.72E-08
0,0.5382,9.53E-05,1.79E-08
0,0.5846,0.000108,1.89E-08
0,0.6567,0.00013,2.05E-08
0,0.7172,0.000149,2.17E-08
0,0.7981,0.000177,2.35E-08
0,0.8309,0.000188,2.37E-08
0,0.8926,0.000211,2.48E-08
0,0.965,0.00024,2.61E-08
0,1.0768,0.000287,2.83E-08
0,1.27047,0.000379,3.26E-08
0,1.4524,0.000478,3.63E-08
0,1.8017,0.000703,4.39E-08
0,2.1435,0.000978,5.10E-08
0,2.379,0.001202,5.53E-08
0,2.9785,0.001941,6.77E-08
0.3,0.0481,3.274503,6.01E-09
0.3,0.0532,3.44353,5.91E-09
0.3,0.0611,3.690076,6.11E-09
0.3,0.0725,4.019261,6.59E-09
0.3,0.0915,4.514953,7.63E-09
0.3,0.1173,5.112106,9.02E-09
0.3,0.1416,5.617553,1.01E-08
0.3,0.1631,6.030388,1.09E-08
0.3,0.1993,6.670207,1.25E-08
0.3,0.2477,7.445373,1.46E-08
0.3,0.3316,8.64234,1.84E-08
0.3,0.4368,9.977205,2.30E-08
0.3,0.5582,11.38136,2.79E-08
0.3,0.6838,12.74504,3.26E-08
0.3,0.79017,13.85973,3.59E-08
0.3,0.90273,15.01836,3.92E-08
0.3,1.061,16.63587,4.42E-08
0.3,1.224,18.31198,4.90E-08
0.3,1.337,19.49084,5.14E-08
0.3,1.453,20.72188,5.38E-08
0.3,1.692,23.34534,6.04E-08
0.3,1.944,26.273,6.70E-08
0.3,2.2171,29.68279,7.39E-08
0.3,2.529,33.95648,8.16E-08
0.3,3.248,46.0042,1.02E-07
