Porosity,YM,UTS,FS,FractureStrain
49.3379,4100,69,5.3,2.9703
52.8755,4100,69,5.3,3.1028
59.5061,4100,69,5.3,3.7351
64.4733,4100,69,5.3,2.8879
68.3443,4100,69,5.3,1.9384
73.2157,4100,69,5.3,3.013
77.6195,4100,69,5.3,4.2281
49.1501,4100,69,5.3,2.0651
50.2079,4100,69,5.3,2.2462
55.1828,4100,69,5.3,1.8373
56.3058,4100,69,5.3,2.2795
60.2995,4100,69,5.3,1.5767
60.9894,4100,69,5.3,2.4893
64.0555,4100,69,5.3,2.4605
64.6994,4100,69,5.3,2.4351
68.4861,4100,69,5.3,2.1114
68.6663,4100,69,5.3,1.8409
73.1391,4100,69,5.3,1.8946
73.5645,4100,69,5.3,1.3759
78.7233,4100,69,5.3,2.9857
79.2599,4100,69,5.3,2.409
48.5098,1500,33,51,31.1716
49.1106,1500,33,51,35.0438
49.4066,1500,33,51,31.738
53.4398,1500,33,51,19.0378
54.3808,1500,33,51,25.2769
54.7607,1500,33,51,21.2644
60.7996,1500,33,51,40.4263
61.502,1500,33,51,16.4327
61.8112,1500,33,51,30.455
63.1674,1500,33,51,30.9875
64.0421,1500,33,51,30.3618
64.1437,1500,33,51,27.6644
68.6408,1500,33,51,30.9555
69.7541,1500,33,51,34.9404
69.8601,1500,33,51,36.3647
75.8504,1500,33,51,10.4158
76.0845,1500,33,51,32.6876
76.5528,1500,33,51,19.2891
80.0383,1500,33,51,12.2754
81.9909,1500,33,51,9.5617
81.9909,1500,33,51,13.5146
52.9442,2200,46,48,23.0106
58.9824,2200,46,48,29.2059
65.1808,2200,46,48,38.2556
66.9813,2200,46,48,34.7929
73.5592,2200,46,48,33.9978
78.6317,2200,46,48,25.5611
86.2089,2200,46,48,16.5947
47.5723,2200,46,48,19.5288
49.1577,2200,46,48,19.3529
55.1369,2200,46,48,19.3721
56.1151,2200,46,48,28.1281
60.4456,2200,46,48,30.2226
60.6311,2200,46,48,30.2814
64.3375,2200,46,48,22.3568
64.8561,2200,46,48,16.3414
70.5021,2200,46,48,18.1834
69.5281,2200,46,48,17.566
73.4748,2200,46,48,14.1598
74.1368,2200,46,48,22.3345
83.679,2200,46,48,5.0243
83.173,2200,46,48,7.9634
48.0422,2800,65,6.2,4.6345
48.7013,2800,65,6.2,4.6614
49.4081,2800,65,6.2,4.7436
52.6603,2800,65,6.2,3.958
55.223,2800,65,6.2,4.2283
56.3937,2800,65,6.2,4.4779
60.396,2800,65,6.2,3.9512
60.6736,2800,65,6.2,4.953
60.8904,2800,65,6.2,4.0087
61.3197,2800,65,6.2,4.983
61.7056,2800,65,6.2,4.2693
62.6899,2800,65,6.2,4.9067
67.2429,2800,65,6.2,4.2913
67.7155,2800,65,6.2,5.0871
68.7519,2800,65,6.2,4.8635
73.4307,2800,65,6.2,4.8348
74.0637,2800,65,6.2,4.8446
74.8573,2800,65,6.2,4.6591
78.1354,2800,65,6.2,4.6088
78.9029,2800,65,6.2,3.8116
79.4189,2800,65,6.2,4.079
