Porosity,Young Modulus,Ultimate Strength,Fracture Strain,FStress,,
47.9495,2900,73,12.3,14.8172,,
50.1729,2900,73,12.3,14.4954,,
69.5209,2900,73,12.3,5.6061,,
76.5149,2900,73,12.3,2.4082,,
52.176,2080,52,12,10.255,,
45.3978,2080,52,12,10.6616,,
63.6274,2080,52,12,5.5139,,
74.4507,2080,52,12,2.6082,,
48.0919,2300,52,4,8.4212,,
62.5138,2300,52,4,4.942,,
70.8943,2300,52,4,3.4839,,
75.516,2300,52,4,2.2496,,
55.1397,1000,28,55,5.6577,,
79.6729,1000,28,55,2.2644,,
70.8888,1000,28,55,2.9988,,
51.7524,350,20,100,4.4023,,
63.6886,350,20,100,2.4561,,
76.1705,350,20,100,0.8635,,
70.5073,350,20,100,1.1424,,
60.1906,396,20.6,173,5.7713,,
70.9247,396,20.6,173,2.4176,,
82.9849,396,20.6,173,1.3322,,
74.4415,396,20.6,173,1.8564,,
34.4605,4.6,8.9,120,0.9766,,
75.4143,4.6,8.9,120,0.2385,,
50.3552,2600,61,13,10.4526,,
44.8914,2600,61,13,10.4818,,
59.5449,2600,61,13,7.4087,,
80.7881,2600,61,13,2.3356,,
54.7686,1434,45,101,5.2045,,
69.582,1434,45,101,3.085,,
76.0065,1434,45,101,1.4604,,
73.1961,1434,45,101,3.4829,,
32.5979,1378,52,127,7.0989,,
55.6924,1378,52,127,2.6665,,
82.5765,1378,52,127,1.336,,
54.1043,1378,52,127,3.5676,,
31.4352,1245,38,141,7.9588,,
51.5741,1245,38,141,4.3214,,
81.6667,1245,38,141,1.3631,,
71.2037,1245,38,141,2.2764,,
42.7219,1494,39,105,8.1346,,
59.2282,1494,39,105,2.8134,,
78.7348,1494,39,105,0.762,,
54.6,1494,39,105,3.7941,,
64.7071,1806,53,43,5.1335,,
86.8319,1806,53,43,1.4946,,
88.2352,1806,53,43,1.2299,,
67.9298,1806,53,43,3.9954,,
48.2498,1752,45,41,7.6765,,
68.4967,1752,45,41,3.5037,,
89.2529,1752,45,41,0.7624,,
51.8322,1752,45,41,7.9145,,
33.8186,1305,37,110,7.0209,,
45.898,1305,37,110,5.1942,,
67.0262,1305,37,110,3.2341,,
90.9043,1305,37,110,0.8152,,
38.7848,1673,46,51,12.9635,,
50.8765,1673,46,51,8.7807,,
62.8642,1673,46,51,4.7099,,
50.2434,1673,46,51,9.0651,,
59.5061,4100,69,5.3,5.9658,,
55.1828,4100,69,5.3,5.6154,,
68.6663,4100,69,5.3,2.8854,,
49.1501,4100,69,5.3,7.1376,,
53.4398,1500,33,51,6.1104,,
64.0421,1500,33,51,3.8088,,
76.5528,1500,33,51,2.2828,,
54.7607,1500,33,51,5.9608,,
73.5592,2200,46,48,3.1673,,
60.4456,2200,46,48,6.6221,,
74.1368,2200,46,48,3.3932,,
65.1808,2200,46,48,5.3804,,
52.9442,2200,46,48,8.0489,,
56.3937,2800,65,6.2,8.1084,,
67.2429,2800,65,6.2,4.0702,,
78.9029,2800,65,6.2,1.1915,,
48.0422,2800,65,6.2,9.8382,,
