Porosity,Young Modulus,Ultimate Strength,Fracture Strain,FStress
56.7738,2900,73,12.3,12.9773
61.2289,2900,73,12.3,10.6539
64.6604,2900,73,12.3,8.6174
66.8839,2900,73,12.3,5.8071
74.9998,2900,73,12.3,3.6186
48.707,2900,73,12.3,15.7485
56.0736,2900,73,12.3,12.0973
54.7468,2900,73,12.3,12.3769
60.496,2900,73,12.3,6.2481
60.3813,2900,73,12.3,4.6964
64.341,2900,73,12.3,5.8634
60.5246,2900,73,12.3,8.6555
68.4481,2900,73,12.3,4.7968
73.2964,2900,73,12.3,3.745
74.4142,2900,73,12.3,3.9089
77.9112,2900,73,12.3,2.2615
77.5058,2900,73,12.3,2.3018
48.6554,2080,52,12,10.8813
58.4636,2080,52,12,8.5704
62.5731,2080,52,12,7.5909
66.9294,2080,52,12,5.8141
73.0568,2080,52,12,3.3194
78.2315,2080,52,12,2.333
44.5349,2080,52,12,11.5691
50.5623,2080,52,12,10.3593
51.2344,2080,52,12,9.773
55.0156,2080,52,12,9.7593
55.6834,2080,52,12,8.5193
56.8325,2080,52,12,7.1901
58.5974,2080,52,12,6.7836
64.2605,2080,52,12,6.3468
70.1578,2080,52,12,3.7642
70.5524,2080,52,12,4.0697
74.6936,2080,52,12,2.7214
47.0562,2300,52,4,7.5153
47.1123,2300,52,4,7.4335
51.3155,2300,52,4,6.9239
52.9553,2300,52,4,7.0345
53.1711,2300,52,4,5.7336
57.029,2300,52,4,5.0972
57.1067,2300,52,4,5.6895
57.1196,2300,52,4,5.5567
63.0792,2300,52,4,4.9993
63.2604,2300,52,4,4.7547
65.828,2300,52,4,3.7842
66.2251,2300,52,4,4.2657
66.8465,2300,52,4,4.036
70.8468,2300,52,4,3.0828
71.7358,2300,52,4,3.1593
75.7922,2300,52,4,2.4944
76.1029,2300,52,4,2.3955
51.7165,1000,28,55,6.2977
50.999,1000,28,55,5.7698
55.4459,1000,28,55,5.3547
62.6532,1000,28,55,4.6712
62.9868,1000,28,55,4.5123
66.7984,1000,28,55,3.8486
65.7061,1000,28,55,3.7054
72.0817,1000,28,55,2.851
79.9791,1000,28,55,2.4735
85.6554,1000,28,55,1.4388
86.8848,1000,28,55,1.3576
43.4847,350,20,100,5.0347
46.3002,350,20,100,5.1186
47.1119,350,20,100,4.7236
