Volume Fraction,Matrix Material,Fibre Material,Matrix Density,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength,Fibre Density,Fibre Elastic Modulus,Fibre Poisson Ratio,Composite Elastic Modulus
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,3151.8658
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,3151.8658
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,3151.8657
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,3056.1521
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,3056.1521
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,3056.1519
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,3117.5446
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,3117.5446
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,3117.5445
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,3068.8294
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,3068.8294
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,3068.8294
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,3495.0303
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,3495.0303
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,3495.0303
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,3396.6234
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,3396.6234
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,3396.6234
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,3460.3513
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,3460.3513
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,3460.351
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,3411.1
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,3411.1
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,3411.0999
0.15,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,3920.5585
0.15,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,3920.5585
0.15,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,3920.5584
0.15,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,3802.114
0.15,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,3802.114
