year,country,ID,lnREN,Gen-1,lnGDP,lnENG-CST,lnTech-1,,,
1990,Australia,1,1.773255998,0.894,4.474956993,2.268822562,2.164471791,,,
1991,Australia,1,1.808288771,0.894,4.471278946,2.274581708,2.290512512,,,
1992,Australia,1,1.695615609,0.894,4.483647909,2.301688053,2.492378665,,,
1993,Australia,1,1.793424749,0.901,4.496738323,2.299457936,2.50389195,,,
1994,Australia,1,1.774952351,0.901,4.509117269,2.285204035,2.377692565,,,
1995,Australia,1,1.788420568,0.901,4.520715618,2.392697303,2.323367632,,,
1996,Australia,1,1.819698838,0.918,4.532113035,2.35544799,2.183801557,,,
1997,Australia,1,1.843719208,0.918,4.547001022,2.331748168,2.063058062,,,
1998,Australia,1,1.78339122,0.926,4.563680744,2.317066601,2.219203484,,,
1999,Australia,1,1.774952351,0.926,4.575550145,2.319583875,2.100468909,,,
2000,Australia,1,1.771556762,0.929,4.579356292,2.278282587,2.066862759,,,
2001,Australia,1,1.81319475,0.931,4.590786681,2.326702776,2.09679018,,,
2002,Australia,1,1.819698838,0.931,4.599152997,2.331775123,2.141241943,,,
2003,Australia,1,1.788420568,0.931,4.612094901,2.294758218,2.17702187,,,
2004,Australia,1,1.757857918,0.93,4.620936418,2.299463778,2.381396273,,,
2005,Australia,1,1.738710248,0.93,4.627392077,2.258861902,2.199444334,,,
2006,Australia,1,1.729884066,0.93,4.637636404,2.278174673,2.221375038,,,
2007,Australia,1,1.735189118,0.932,4.644937299,2.284575565,2.280339484,,,
2008,Australia,1,1.72455072,0.932,4.644282767,2.326813262,2.414126468,,,
2009,Australia,1,1.488399584,0.932,4.64481147,2.393539341,2.505525937,,,
2010,Australia,1,1.665818246,0.931,4.648318531,2.568372776,2.574899688,,,
2011,Australia,1,1.695615609,0.931,4.658907885,2.581260919,2.500615943,,,
2012,Australia,1,1.702928256,0.931,4.662383327,2.80512705,2.354228326,,,
2013,Australia,1,1.793424749,0.931,4.665966994,2.851315726,2.321406847,,,
2014,Australia,1,1.832581464,0.936,4.668739173,2.837245455,2.350422422,,,
2015,Australia,1,1.843719208,0.936,4.674188336,2.78800411,2.314513664,,,
2016,Australia,1,1.880990603,0.939,4.677204953,2.780583255,2.340843805,,,
2017,Australia,1,1.940179474,0.923,4.68223292,2.853972184,2.345644582,,,
2018,Australia,1,1.95160817,0.927,4.684891032,2.890869242,2.215937286,,,
2019,Australia,1,1.985130862,0.92,4.678061629,2.882312566,2.32825284,,,
2020,Australia,1,2.02287119,0.923,4.682094511,2.873682041,2.279998594,,,
2021,Australia,1,2.122261539,0.925,4.696770213,2.864976382,2.270750369,,,
2022,Australia,1,2.212660385,0.918,4.710966161,2.856194267,2.261415816,,,
1990,Austria,2,3.008154794,0.895,4.548530925,2.828379032,2.507157259,,,
1991,Austria,2,2.986186861,0.895,4.558890168,2.836093027,2.43798973,,,
1992,Austria,2,3.07130346,0.895,4.563108809,2.827199134,2.459588842,,,
1993,Austria,2,3.111735949,0.895,4.561809398,2.834210133,2.421256623,,,
1994,Austria,2,3.083743151,0.901,4.570446847,2.790085818,2.394252282,,,
1995,Austria,2,3.089677886,0.914,4.581217029,2.779483346,2.469793012,,,
1996,Austria,2,3.019936962,0.921,4.590716475,2.838752694,2.516889696,,,
1997,Austria,2,3.03783345,0.921,4.599222836,2.867478398,2.536866389,,,
