SMILES,SA Score
*CCC[Fe]CCCC(=O)OCCCCOCCCNCC(*)=O,4.17485113
*CCCC1C=CNC2=CC=C2C(*)CCC1,5.939779616
*CCC*,6.887881637
*C(=O)CNC(*)C(=O)OCCCCCNC,4.227674001
*CC(C)(C)CCCCCCC(C)C(=O)N*,4.199197345
*Oc1ccc(CCCNC(=O)NCCCC(=O)C(C)C(*)=O)cc1,3.604594441
*CC(*)C(C)(C)CCC,5.234013668
*CC(*)(C)CC=O,6.06242217
*Oc1ccc(*)cc1O,4.649048854
*CC(*)COCCCCC(C)=O,4.400032491
*O*,6.001183152
*OC(*)=O,6.315113697
*Cc1ccc(C(=O)OCCCCCOC(=O)OCCCCCCC(=O)C(*)=O)cc1,3.113365242
*CCN(CF)c1ccc(*)cc1,4.641320519
*CN(*)C1=CC=C1,5.687431407
*Oc1ccc(S(=O)c2ccc(*)cc2OC)c(C)c1C,4.472339404
*OC(=O)CCCCCOC(=O)O*,3.849518642
*C(=O)C(*)=O,5.397582619
*CCCOC(=O)Nc1ccc(C(*)=O)cc1OC,3.260724979
*NC(=O)OCC1=CC=C(O*)C(C)=CC=C1,4.630620101
*CCC(*)(C)CC,5.921426786
*C1=C(/C=C/c2ccc(*)cc2)C=C1,4.442704816
*OCCC(C)(C)CC(*)=O,4.813245941
*CCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCC(=O)NCCCCCCCCCCN1CC1=CC(*)=O,3.780332472
*CCCCNC(=O)CC*,4.178491106
*NC(=O)c1ccc(C(=O)OCCCCCCCCCCCc2ccc(*)cc2)cc1,2.896575441
*C(=C)c1ccc(S(=O)(=O)Oc2ccc(*)c(F)c2)cc1,3.397207183
*CC(O)CCC(=O)NCCCCCCCCCCCCCCCCCC(=O)N*,3.512455294
*O[Si](*)(C)O,6.649614684
*CC(C)OC(=O)CNC(=O)NCCCC(C)COC(=O)NCC(C)CN=C(C)C(=O)O*,4.760607429
*NC(=O)NCCCCCCCOC(=O)OC(=O)CCCCNC(=O)O*,3.3704355
*OC(=O)OCCCCCOc1ccc(C(=O)CCCCCCCCC(=O)CCCCCCC2C=CC2(*)O)cc1,4.130038753
*Oc1cccc(C(=O)NCC(CS(C)(C)C)O*)c1,4.148823995
*OC(=O)C=CC(=O)CCCCCCCCCCCCCCCCCCCC(=O)Oc1ccc(*)c(CCCCSC)c1,3.480883262
*CCCCCCCCCCCCCCCCCCCNC(=O)C(=O)Oc1ccc(C(=O)CCCCCCCCC(CC)(CCCCCC)C(=O)O*)cc1,4.081708313
*c1ccc(C(=O)c2ccc(*)cc2)cc1,3.484677706
*CCCCCCCCCCCCN(C)C(=O)NCC(*)=O,3.327812134
*CS(*)(Cl)C(=O)S(C)(C)F,5.895077963
*OCC(*)=O,6.099302856
*CCCCOc1sc(*)cc1C,4.583743596
*CCCCCCCCCCCCCCNC(=O)O*,3.179723893
*CC(*)c1ccc(C(C)(C)OC#N)cc1,4.614865858
*NC(=O)CCCC(=O)N*,4.252624209
*CCCCOC(=O)C*,4.522453982
*C#CCOC(=O)N=CCCCOC(=O)c1ccc(O*)cc1,3.810009832
*OCCNCC(=O)c1ccc(C)c(*)c1,3.791121902
*NC(=O)NCCCNC(=O)CCCCCC(=O)O*,3.292569781
*CCOCCO*,5.263233505
*CC(*)O[Si](C)(C)c1ccccc1,4.383147219
*CCCCCCCCCCCCCCCCCCCC(=O)O*,2.89682691
