"BalabanJ	PEOE_VSA5	SMR_VSA4	SMR_VSA5	SMR_VSA6	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA3	SlogP_VSA4	SlogP_VSA7	SlogP_VSA8	EState_VSA10	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA8	VSA_EState10	VSA_EState2	VSA_EState4	VSA_EState8	VSA_EState9	NHOHCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticHeterocycles	NumSaturatedHeterocycles	fr_Ar_N	fr_allylic_oxid	fr_aniline	fr_bicyclic	fr_ester	fr_ether	fr_ketone	tg"
"3.023715784	0	0	7.378756055	0	0	0	0	0	0	0	7.378756055	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-54"
"4.748408578	0	0	20.12460586	0	0	0	0	0	0	0	13.27271374	0	0	0	0	0	0	0	0	0	-4.059027778	0	0	0	0	0	0	0	0	0	0	0	0	0	-3"
"5.300082078	0	0	26.49753076	0	0	0	0	0	0	0	13.27271374	0	0	0	0	0	0	0	0	0	-4.774722222	0	0	0	0	0	0	0	0	0	0	0	0	0	-24.1"
"5.733228776	0	0	32.87045566	0	0	0	0	0	0	0	13.27271374	0	0	0	0	0	0	0	0	0	-5.238611111	0	0	0	0	0	0	0	0	0	0	0	0	0	-37"
"6.035600642	0	5.893957685	26.97649797	0	0	0	0	0	0	5.893957685	13.27271374	0	0	0	0	0	0	0	0	0	-8.467847222	0	0	0	0	0	0	0	0	0	0	0	0	0	60"
"6.082753304	0	0	39.24338056	0	0	0	0	0	0	0	13.27271374	0	0	0	0	0	0	0	0	0	-5.567828798	0	0	0	0	0	0	0	0	0	0	0	0	0	-50"
"6.381088547	0	5.893957685	33.34942288	0	0	0	0	0	0	5.893957685	13.27271374	0	0	0	0	0	0	0	0	0	-9.18	0	0	0	0	0	0	0	0	0	0	0	0	0	35.2"
"6.370990657	0	0	45.61630546	0	0	0	0	0	0	0	13.27271374	0	0	0	0	0	0	0	0	0	-5.814941185	0	0	0	0	0	0	0	0	0	0	0	0	0	-45.5"
"6.818951334	0	0	58.36215527	0	0	0	0	0	0	0	13.27271374	0	0	0	0	0	0	0	0	0	-6.162688807	0	0	0	0	0	0	0	0	0	0	0	0	0	-47"
"6.996598126	0	0	64.73508017	0	0	0	0	0	0	0	13.27271374	0	0	0	0	0	0	0	0	0	-6.289964085	0	0	0	0	0	0	0	0	0	0	0	0	0	-35"
"5.542725538	0	0	26.49753076	0	0	0	0	0	0	0	12.79374652	0	0	0	0	0	0	0	0	0	-7.322916667	0	0	0	0	0	0	0	0	0	0	0	0	0	-72"
"6.035600642	0	0	32.87045566	0	0	0	0	0	0	0	12.79374652	0	0	0	0	0	0	0	0	0	-8.183402778	0	0	0	0	0	0	0	0	0	0	0	0	0	-5"
"6.035600642	0	0	32.87045566	0	0	0	0	0	0	0	12.79374652	0	0	0	0	0	0	0	0	0	-8.273402778	0	0	0	0	0	0	0	0	0	0	0	0	0	-12"
"6.709405497	0	5.893957685	33.34942288	0	0	0	0	0	0	5.893957685	12.79374652	0	0	0	0	0	0	0	0	0	-12.30777778	0	0	0	0	0	0	0	0	0	0	0	0	0	37"
"6.381088547	0	0	39.24338056	0	0	0	0	0	0	0	12.79374652	0	0	0	0	0	0	0	0	0	-8.895555556	0	0	0	0	0	0	0	0	0	0	0	0	0	-20"
"6.805145218	0	0	45.61630546	0	0	0	0	0	0	0	12.79374652	0	0	0	0	0	0	0	0	0	-9.515120465	0	0	0	0	0	0	0	0	0	0	0	0	0	-23"
"6.818951334	0	0	58.36215527	0	0	0	0	0	0	0	13.27271374	0	0	0	0	0	0	0	0	0	-6.162688807	0	0	0	0	0	0	0	0	0	0	0	0	0	-58"
"3.851552403	0	5.893957685	38.76441335	0	0	0	0	0	0	5.893957685	13.27271374	0	0	0	0	0	0	0	0	0	-2.202430556	0	0	1	0	0	0	0	0	0	0	0	0	0	75"
"3.910769433	0	5.893957685	45.13733825	0	0	0	0	0	0	5.893957685	13.27271374	0	0	0	0	0	0	0	0	0	-2.292928005	0	0	1	0	0	0	0	0	0	0	0	0	0	60"
"4.038234571	0	5.893957685	45.13733825	0	0	0	0	0	0	5.893957685	13.27271374	0	0	0	0	0	0	0	0	0	-2.35549178	0	0	1	0	0	0	0	0	0	0	0	0	0	119.7"
"4.098376804	0	5.893957685	51.51026315	0	0	0	0	0	0	5.893957685	13.27271374	0	0	0	0	0	0	0	0	0	-2.410115505	0	0	1	0	0	0	0	0	0	0	0	0	0	75"
