Porosity,Young Modulus,Ultimate Strength,Fracture Strain,YM
47.9495,2900,73,12.3,291.8681
50.1729,2900,73,12.3,287.0571
69.5209,2900,73,12.3,144.9067
76.5149,2900,73,12.3,54.2925
52.176,2080,52,12,209.8464
45.3978,2080,52,12,222.1336
63.6274,2080,52,12,130.5197
74.4507,2080,52,12,62.1644
48.0919,2300,52,4,173.2676
62.5138,2300,52,4,102.1577
70.8943,2300,52,4,72.0647
75.516,2300,52,4,55.8539
55.1397,1000,28,55,77.8449
79.6729,1000,28,55,36.8816
70.8888,1000,28,55,45.1306
51.7524,350,20,100,46.6699
63.6886,350,20,100,20.6561
76.1705,350,20,100,3.0183
70.5073,350,20,100,5.1284
60.1906,396,20.6,173,115.7419
70.9247,396,20.6,173,38.1376
82.9849,396,20.6,173,21.448
74.4415,396,20.6,173,23.1932
34.4605,4.6,8.9,120,1.1831
75.4143,4.6,8.9,120,0.3244
50.3552,2600,61,13,216.6598
44.8914,2600,61,13,259.075
59.5449,2600,61,13,158.5425
80.7881,2600,61,13,60.6674
54.7686,1434,45,101,82.8236
69.582,1434,45,101,45.0885
76.0065,1434,45,101,16.6086
73.1961,1434,45,101,50.5626
32.5979,1378,52,127,163.7376
55.6924,1378,52,127,57.4677
82.5765,1378,52,127,20.8592
54.1043,1378,52,127,71.8967
31.4352,1245,38,141,156.0325
51.5741,1245,38,141,101.0629
81.6667,1245,38,141,24.7961
71.2037,1245,38,141,41.657
42.7219,1494,39,105,146.1146
59.2282,1494,39,105,69.2588
78.7348,1494,39,105,17.0276
54.6,1494,39,105,82.5023
64.7071,1806,53,43,100.7878
86.8319,1806,53,43,31.8542
88.2352,1806,53,43,25.0492
67.9298,1806,53,43,83.3754
48.2498,1752,45,41,185.2873
68.4967,1752,45,41,87.4745
89.2529,1752,45,41,14.506
51.8322,1752,45,41,184.3759
33.8186,1305,37,110,138.8675
45.898,1305,37,110,103.5095
67.0262,1305,37,110,58.3729
90.9043,1305,37,110,10.1334
38.7848,1673,46,51,218.0661
50.8765,1673,46,51,171.0999
62.8642,1673,46,51,95.4693
50.2434,1673,46,51,157.2147
59.5061,4100,69,5.3,220.5293
55.1828,4100,69,5.3,353.5041
68.6663,4100,69,5.3,167.634
49.1501,4100,69,5.3,401.0421
53.4398,1500,33,51,124.903
64.0421,1500,33,51,70.9258
76.5528,1500,33,51,42.535
54.7607,1500,33,51,119.6614
73.5592,2200,46,48,58.3214
60.4456,2200,46,48,135.1765
74.1368,2200,46,48,74.1387
65.1808,2200,46,48,101.1294
52.9442,2200,46,48,174.6319
56.3937,2800,65,6.2,244.4611
67.2429,2800,65,6.2,133.0854
78.9029,2800,65,6.2,48.9371
48.0422,2800,65,6.2,296.7101
