Porosity,Young Modulus,Ultimate Strength,Fracture Strain,YM
56.7738,2900,73,12.3,257.0817
61.2289,2900,73,12.3,215.011
64.6604,2900,73,12.3,179.1222
66.8839,2900,73,12.3,139.4053
74.9998,2900,73,12.3,82.5571
48.707,2900,73,12.3,298.0797
56.0736,2900,73,12.3,250.7908
54.7468,2900,73,12.3,267.5179
60.496,2900,73,12.3,227.8436
60.3813,2900,73,12.3,232.7574
64.341,2900,73,12.3,181.5059
60.5246,2900,73,12.3,170.2902
68.4481,2900,73,12.3,147.9916
73.2964,2900,73,12.3,90.8232
74.4142,2900,73,12.3,88.7194
77.9112,2900,73,12.3,61.2494
77.5058,2900,73,12.3,57.8731
48.6554,2080,52,12,227.0254
58.4636,2080,52,12,180.1318
62.5731,2080,52,12,149.7825
66.9294,2080,52,12,118.7963
73.0568,2080,52,12,84.2181
78.2315,2080,52,12,61.0032
44.5349,2080,52,12,208.9045
50.5623,2080,52,12,205.4447
51.2344,2080,52,12,214.1216
55.0156,2080,52,12,180.3295
55.6834,2080,52,12,178.5562
56.8325,2080,52,12,164.0099
58.5974,2080,52,12,159.1264
64.2605,2080,52,12,123.5819
70.1578,2080,52,12,95.6351
70.5524,2080,52,12,89.9306
74.6936,2080,52,12,61.8022
47.0562,2300,52,4,160.5017
47.1123,2300,52,4,150.2013
51.3155,2300,52,4,133.4142
52.9553,2300,52,4,144.3561
53.1711,2300,52,4,136.8009
57.029,2300,52,4,119.8051
57.1067,2300,52,4,119.8693
57.1196,2300,52,4,119.0936
63.0792,2300,52,4,97.3293
63.2604,2300,52,4,101.0121
65.828,2300,52,4,86.6209
66.2251,2300,52,4,89.3068
66.8465,2300,52,4,86.0639
70.8468,2300,52,4,68.012
71.7358,2300,52,4,55.4692
75.7922,2300,52,4,53.4392
76.1029,2300,52,4,55.0654
51.7165,1000,28,55,91.9211
50.999,1000,28,55,98.4664
55.4459,1000,28,55,82.8901
62.6532,1000,28,55,64.7957
62.9868,1000,28,55,64.6971
66.7984,1000,28,55,57.2697
65.7061,1000,28,55,56.3189
72.0817,1000,28,55,46.8626
79.9791,1000,28,55,37.379
85.6554,1000,28,55,26.0867
86.8848,1000,28,55,24.8515
43.4847,350,20,100,64.7576
46.3002,350,20,100,71.1185
47.1119,350,20,100,62.171
50.3309,350,20,100,56.7382
53.4491,350,20,100,52.9565
54.9669,350,20,100,32.6646
57.5761,350,20,100,30.745
58.0576,350,20,100,38.7236
58.163,350,20,100,29.0982
61.3637,350,20,100,22.8514
66.1281,350,20,100,13.7474
66.6188,350,20,100,16.7208
66.7701,350,20,100,16.4445
68.8565,350,20,100,9.8215
71.6904,350,20,100,8.0707
76.895,350,20,100,3.629
77.9176,350,20,100,3.5099
49.219,396,20.6,173,137.5912
50.7825,396,20.6,173,133.4287
51.338,396,20.6,173,138.391
56.5259,396,20.6,173,104.0745
56.8977,396,20.6,173,112.3794
60.428,396,20.6,173,86.1403
60.643,396,20.6,173,86.3515
61.2613,396,20.6,173,81.6514
64.787,396,20.6,173,60.867
65.6338,396,20.6,173,62.3844
66.5298,396,20.6,173,61.1008
70.974,396,20.6,173,39.1749
71.8117,396,20.6,173,30.6616
75.1807,396,20.6,173,28.1501
75.4988,396,20.6,173,22.8277
81.1033,396,20.6,173,23.5475
83.0297,396,20.6,173,20.4428
41.2906,4.6,8.9,120,0.876
50.2851,4.6,8.9,120,0.6289
55.4897,4.6,8.9,120,0.5408
59.4234,4.6,8.9,120,0.587
69.3834,4.6,8.9,120,0.4295
54.7512,2600,61,13,194.506
60.5054,2600,61,13,173.3505
65.9692,2600,61,13,135.0253
75.5119,2600,61,13,77.5103
45.0701,2600,61,13,244.0487
50.5651,2600,61,13,215.5951
53.5807,2600,61,13,207.2995
58.218,2600,61,13,179.6947
57.8562,2600,61,13,178.8135
59.8576,2600,61,13,153.577
66.693,2600,61,13,122.245
65.0623,2600,61,13,132.5908
71.3884,2600,61,13,99.3884
71.9781,2600,61,13,102.9886
77.491,2600,61,13,78.6896
53.6595,1434,45,101,80.6324
56.437,1434,45,101,93.3966
57.438,1434,45,101,89.4527
58.4297,1434,45,101,66.6248
62.697,1434,45,101,55.2296
68.4118,1434,45,101,47.7422
68.5434,1434,45,101,40.6524
69.6431,1434,45,101,74.8085
70.7194,1434,45,101,38.8697
72.4254,1434,45,101,36.1532
72.5757,1434,45,101,47.9845
73.4546,1434,45,101,44.6029
76.8008,1434,45,101,16.5589
78.5772,1434,45,101,15.6673
83.244,1434,45,101,20.9996
87.5913,1434,45,101,15.457
92.587,1434,45,101,20.9461
23.1404,1378,52,127,224.921
28.8891,1378,52,127,178.2018
