Porosity,Young Modulus,Ultimate Strength,Fracture Strain,YStress
47.9495,2900,73,12.3,13.4369
50.1729,2900,73,12.3,13.368
69.5209,2900,73,12.3,5.0734
76.5149,2900,73,12.3,2.2698
52.176,2080,52,12,9.4389
45.3978,2080,52,12,9.7467
63.6274,2080,52,12,4.8606
74.4507,2080,52,12,2.4667
48.0919,2300,52,4,8.0136
62.5138,2300,52,4,4.061
70.8943,2300,52,4,3.0917
75.516,2300,52,4,1.819
55.1397,1000,28,55,4.3143
79.6729,1000,28,55,1.804
70.8888,1000,28,55,2.2675
51.7524,350,20,100,2.1049
63.6886,350,20,100,1.0299
76.1705,350,20,100,0.1103
70.5073,350,20,100,0.2827
60.1906,396,20.6,173,5.217
70.9247,396,20.6,173,1.559
82.9849,396,20.6,173,0.9403
74.4415,396,20.6,173,1.0528
34.4605,4.6,8.9,120,0.4815
75.4143,4.6,8.9,120,0.1855
50.3552,2600,61,13,9.7036
44.8914,2600,61,13,8.5618
59.5449,2600,61,13,6.6775
80.7881,2600,61,13,2.0826
54.7686,1434,45,101,3.9147
69.582,1434,45,101,2.0875
76.0065,1434,45,101,0.8824
73.1961,1434,45,101,2.2547
32.5979,1378,52,127,6.2712
55.6924,1378,52,127,2.0773
82.5765,1378,52,127,0.8151
54.1043,1378,52,127,2.5805
31.4352,1245,38,141,7.554
51.5741,1245,38,141,3.7168
81.6667,1245,38,141,0.9819
71.2037,1245,38,141,1.6485
42.7219,1494,39,105,7.0599
59.2282,1494,39,105,2.2132
78.7348,1494,39,105,0.5383
54.6,1494,39,105,3.0471
64.7071,1806,53,43,4.1653
86.8319,1806,53,43,1.0607
88.2352,1806,53,43,0.9237
67.9298,1806,53,43,3.0741
48.2498,1752,45,41,6.5652
68.4967,1752,45,41,2.821
89.2529,1752,45,41,0.6289
51.8322,1752,45,41,6.6652
33.8186,1305,37,110,6.2365
45.898,1305,37,110,4.5033
67.0262,1305,37,110,2.3593
90.9043,1305,37,110,0.4366
38.7848,1673,46,51,11.5776
50.8765,1673,46,51,7.8743
62.8642,1673,46,51,4.143
50.2434,1673,46,51,8.3298
59.5061,4100,69,5.3,5.8659
55.1828,4100,69,5.3,4.7795
68.6663,4100,69,5.3,2.5763
49.1501,4100,69,5.3,6.8304
53.4398,1500,33,51,5.443
64.0421,1500,33,51,2.9581
76.5528,1500,33,51,1.8797
54.7607,1500,33,51,5.3462
73.5592,2200,46,48,2.2645
60.4456,2200,46,48,5.6687
74.1368,2200,46,48,2.9485
65.1808,2200,46,48,3.9458
52.9442,2200,46,48,7.3005
56.3937,2800,65,6.2,7.1601
67.2429,2800,65,6.2,3.7728
78.9029,2800,65,6.2,0.9366
48.0422,2800,65,6.2,8.8343
