Porosity,Young Modulus,Ultimate Strength,Fracture Strain,YStress
56.7738,2900,73,12.3,11.9741
61.2289,2900,73,12.3,9.9764
64.6604,2900,73,12.3,8.043
66.8839,2900,73,12.3,5.4073
74.9998,2900,73,12.3,3.2141
48.707,2900,73,12.3,14.3111
56.0736,2900,73,12.3,11.677
54.7468,2900,73,12.3,11.3131
60.496,2900,73,12.3,5.6172
60.3813,2900,73,12.3,3.879
64.341,2900,73,12.3,5.0569
60.5246,2900,73,12.3,8.0662
68.4481,2900,73,12.3,4.3512
73.2964,2900,73,12.3,3.5098
74.4142,2900,73,12.3,3.6926
77.9112,2900,73,12.3,2.1313
77.5058,2900,73,12.3,2.1264
48.6554,2080,52,12,10.0114
58.4636,2080,52,12,7.8925
62.5731,2080,52,12,6.879
66.9294,2080,52,12,5.2321
73.0568,2080,52,12,2.9791
78.2315,2080,52,12,2.1708
44.5349,2080,52,12,10.4543
50.5623,2080,52,12,9.3681
51.2344,2080,52,12,8.6113
55.0156,2080,52,12,8.837
55.6834,2080,52,12,7.7119
56.8325,2080,52,12,6.3418
58.5974,2080,52,12,5.7001
64.2605,2080,52,12,5.5445
70.1578,2080,52,12,3.4374
70.5524,2080,52,12,3.6695
74.6936,2080,52,12,2.3727
47.0562,2300,52,4,7.0939
47.1123,2300,52,4,6.8676
51.3155,2300,52,4,6.0642
52.9553,2300,52,4,6.2194
53.1711,2300,52,4,5.0797
57.029,2300,52,4,4.3687
57.1067,2300,52,4,4.8622
57.1196,2300,52,4,4.987
63.0792,2300,52,4,4.7019
63.2604,2300,52,4,4.2526
65.828,2300,52,4,3.2864
66.2251,2300,52,4,3.7114
66.8465,2300,52,4,3.4166
70.8468,2300,52,4,2.8915
71.7358,2300,52,4,2.8662
75.7922,2300,52,4,2.0569
76.1029,2300,52,4,2.1384
51.7165,1000,28,55,4.7436
50.999,1000,28,55,4.6797
55.4459,1000,28,55,4.2414
62.6532,1000,28,55,3.3853
62.9868,1000,28,55,3.3631
66.7984,1000,28,55,2.8713
65.7061,1000,28,55,2.8094
72.0817,1000,28,55,2.2795
79.9791,1000,28,55,1.809
85.6554,1000,28,55,1.2259
86.8848,1000,28,55,1.0995
43.4847,350,20,100,3.2314
46.3002,350,20,100,3.3881
47.1119,350,20,100,2.8413
50.3309,350,20,100,2.4781
53.4491,350,20,100,2.4823
54.9669,350,20,100,1.6335
57.5761,350,20,100,1.5459
58.0576,350,20,100,1.7413
58.163,350,20,100,1.2866
61.3637,350,20,100,1.0285
66.1281,350,20,100,0.5993
66.6188,350,20,100,0.8225
66.7701,350,20,100,0.873
68.8565,350,20,100,0.3256
71.6904,350,20,100,0.3603
76.895,350,20,100,0.1367
77.9176,350,20,100,0.1143
49.219,396,20.6,173,6.5483
50.7825,396,20.6,173,6.6156
51.338,396,20.6,173,6.666
56.5259,396,20.6,173,5.0936
56.8977,396,20.6,173,5.0415
60.428,396,20.6,173,3.8887
60.643,396,20.6,173,4.1125
61.2613,396,20.6,173,3.4084
64.787,396,20.6,173,2.4695
65.6338,396,20.6,173,2.6414
66.5298,396,20.6,173,2.3515
70.974,396,20.6,173,1.8121
71.8117,396,20.6,173,1.4905
75.1807,396,20.6,173,1.1811
75.4988,396,20.6,173,1.0533
